Zipcode,City,Latitude,Longitude,Population,Density,Occupancy,Value,Income
98110,Bainbridge Island WA,47.6,-122.5,23025,834,0.89,551.7,95.4
98112,Seattle WA,47.62,-122.3,21077,6667,0.93,754.2,96.0
98115,Seattle WA,47.68,-122.29,46206,7018,0.94,492.7,84.1
98117,Seattle WA,47.69,-122.38,31365,7953,0.96,463.5,86.9
98122,Seattle WA,47.61,-122.3,31454,13594,0.91,407.6,53.5
98133,Seattle WA,47.74,-122.34,44555,6279,0.92,326.4,51.4
98144,Seattle WA,47.58,-122.3,26881,7895,0.9,391.0,55.9
98146,Seattle WA,47.5,-122.36,25922,5573,0.94,308.4,56.8
98223,Arlington WA,48.2,-122.0,40815,128,0.92,269.2,65.8
98229,Bellingham WA,48.7,-122.4,30321,617,0.91,302.5,59.3
98277,Oak Harbor WA,48.3,-122.7,37823,670,0.89,243.4,53.5
98333,Fox Island WA,47.25,-122.63,3633,696,0.88,462.4,93.1
98374,Puyallup WA,47.13,-122.25,37360,2358,0.94,243.2,74.6
98409,Tacoma WA,47.21,-122.47,22989,3234,0.9,166.7,46.8
98422,Tacoma WA,47.29,-122.39,20151,3017,0.95,318.0,82.5
98445,Tacoma WA,47.13,-122.41,29661,2847,0.94,199.3,59.9
98513,Olympia WA,47.0,-122.7,31975,541,0.93,236.5,68.5
98589,Tenino WA,46.8,-122.8,7320,80,0.93,217.9,55.7
98801,Wenatchee WA,47.4,-120.4,40977,252,0.93,225.9,51.1
98802,East Wenatchee WA,47.5,-120.2,28719,160,0.93,220.1,56.8
98837,Moses Lake WA,47.2,-119.3,39722,82,0.91,170.7,49.0
98840,Okanogan WA,48.3,-119.4,4851,12,0.88,151.3,45.0
98902,Yakima WA,46.6,-120.53,46322,5133,0.95,140.5,36.9
98930,Grandview WA,46.27,-119.9,15252,321,0.95,135.9,44.5
99001,Airway Heights WA,47.64,-117.58,6151,866,0.89,139.7,36.8
99004,Cheney WA,47.4,-117.6,18376,55,0.92,189.2,39.4
99141,Kettle Falls WA,48.7,-118.1,5240,10,0.83,167.2,38.6
99156,Newport WA,48.3,-117.3,8114,25,0.73,193.0,37.1
99206,Spokane WA,47.6,-117.2,34802,1487,0.94,182.7,49.4
99208,Spokane WA,47.8,-117.5,49193,1001,0.94,210.8,53.8
99224,Spokane WA,47.6,-117.5,18289,156,0.92,226.6,56.1
99336,Kennewick WA,46.21,-119.18,48753,3653,0.94,146.1,41.9
99353,West Richland WA,46.32,-119.4,13306,511,0.96,194.6,80.5
